,bike_name,price,kms_driven,owner,age,power,brand
2416,Bajaj Avenger 220cc,38000,40000,First,6,220,Bajaj
2417,Bajaj Pulsar 180cc,24000,59944,First,8,180,Bajaj
2418,Bajaj Discover 125cc,14900,99890,First,17,125,Bajaj
2419,Bajaj Pulsar 135LS,22000,38000,First,10,135,Bajaj
2420,Royal Enfield Classic,132000,6100,First,3,350,Royal Enfield
2421,Honda CB Hornet,45297,55268,First,5,160,Honda
2422,Royal Enfield Classic,137000,8400,First,2,350,Royal Enfield
2423,Bajaj CT 100,15000,48000,First,17,100,Bajaj
2424,Hero Splendor Pro,20000,19420,First,10,100,Hero
2425,Bajaj  Pulsar,18800,46555,First,10,180,Bajaj
2426,Yamaha SZR 150cc,19000,22617,First,9,150,Yamaha
2427,Bajaj Platina ,35000,10181,First,4,100,Bajaj
2428,KTM RC 200cc,165000,10000,First,4,200,KTM
2429,Hero Karizma ZMR,51000,23564,First,8,223,Hero
2430,Royal Enfield Classic,85000,10000,Second,9,500,Royal Enfield
2431,Hero CD Deluxe,26000,15099,First,9,100,Hero
2432,Hero Passion Pro,27000,11237,First,9,100,Hero
2433,Suzuki Gixxer SF,52500,24487,First,4,150,Suzuki
2434,Honda CB Unicorn,13000,32641,First,13,150,Honda
2435,KTM Duke 200cc,155000,7500,First,4,200,KTM
2436,Royal Enfield Machismo,56000,47000,First,16,350,Royal Enfield
2437,Hero Xtreme Sports,65000,4500,First,5,149,Hero
2438,Harley-Davidson Iron 883,482000,7500,First,6,883,Harley-Davidson
2439,Hero Super Splendor,35000,12669,First,4,125,Hero
2440,TVS Apache RTR,65000,7421,First,3,160,TVS
2441,Hero Splendor iSmart,28000,32914,First,5,100,Hero
2442,Hero Passion Pro,23000,62433,Second,7,100,Hero
2443,Hero Passion Pro,23000,16286,First,9,100,Hero
2444,Bajaj Pulsar 135LS,29000,29189,First,4,135,Bajaj
2445,Bajaj Discover 125cc,18000,50732,First,10,125,Bajaj
2446,Triumph Thruxton R,1000000,1500,First,4,1200,Triumph
2447,Bajaj Avenger Street,50000,42149,First,4,150,Bajaj
2448,Royal Enfield Himalayan,120000,14290,First,5,410,Royal Enfield
2449,TVS Apache RTR,45000,26500,Second,7,180,TVS
2450,Yamaha YZF-R15 150cc,50000,38000,First,12,150,Yamaha
2451,Yamaha FZs 150cc,30000,34500,Second,7,150,Yamaha
2452,Honda CD 110,45000,16106,First,3,110,Honda
2453,Hero Splendor Plus,28000,17942,First,6,100,Hero
2454,Royal Enfield Electra,90000,2000,First,4,350,Royal Enfield
2455,BMW S 1000,1500000,18000,First,4,1000,BMW
2456,Yamaha YZF-R15 2.0,69000,25000,First,9,150,Yamaha
2457,Bajaj Platina 100cc,21000,20386,First,9,100,Bajaj
2458,Bajaj Avenger Cruise,51000,18791,First,6,220,Bajaj
2459,Honda CB ShineSP,51000,17261,First,3,125,Honda
2460,TVS Apache RTR,40500,39125,First,6,180,TVS
2461,Hero Karizma R,16900,30000,Second,13,223,Hero
2462,KTM Duke 200cc,79990,60000,First,8,200,KTM
2463,Hero Karizma R,23000,67000,First,13,223,Hero
2464,Bajaj CT 100,27000,23000,First,3,100,Bajaj
2465,Bajaj Pulsar RS200,79000,32000,First,6,200,Bajaj
2466,Bajaj Discover 125cc,26200,29000,First,10,125,Bajaj
2467,Honda CBF Stunner,18000,19687,First,10,125,Honda
2468,Hero HF Deluxe,55000,2309,First,2,100,Hero
2469,KTM RC 200cc,128700,11300,First,5,200,KTM
2470,Bajaj V15 150cc,50000,7500,First,3,150,Bajaj
2471,Bajaj XCD 125,13000,44000,First,13,125,Bajaj
2472,Yamaha FZs 150cc,26000,27454,First,9,150,Yamaha
2473,Royal Enfield Classic,130000,13000,First,4,350,Royal Enfield
2474,Honda CB Unicorn,35000,37000,First,9,150,Honda
2475,TVS Apache RTR,44000,36000,First,6,180,TVS
2476,TVS Star City,15000,28757,First,13,110,TVS
2477,Hero Karizma R,20000,46007,First,13,223,Hero
2478,Bajaj Avenger 220cc,32000,11278,First,11,220,Bajaj
2479,Bajaj Discover 125cc,24000,18085,First,7,125,Bajaj
2480,Bajaj Discover 100M,20500,47057,First,9,100,Bajaj
2481,Bajaj Platina 100cc,19000,74594,First,11,100,Bajaj
2482,Bajaj Avenger 220cc,33969,33075,Second,8,220,Bajaj
2483,Bajaj Discover 125M,25000,6500,Second,7,125,Bajaj
2484,Bajaj Dominar 400,106080,4633,First,4,400,Bajaj
2485,Royal Enfield Classic,120000,48000,Second,8,500,Royal Enfield
2486,Hero Passion Xpro,39000,12457,First,3,110,Hero
2487,Bajaj CT 100,28000,13290,First,4,100,Bajaj
2488,Royal Enfield Thunderbird,110000,14201,First,5,350,Royal Enfield
2489,Yamaha FZ25 250cc,90000,8800,First,3,250,Yamaha
2490,Honda Livo 110cc,32000,10005,First,5,110,Honda
2491,Royal Enfield Classic,120000,11000,First,3,350,Royal Enfield
2492,Royal Enfield Himalayan,120000,33360,First,5,410,Royal Enfield
2493,TVS Apache RTR,54000,18454,First,4,160,TVS
2494,Hero Passion Plus,19000,49826,First,13,100,Hero
2495,Bajaj Platina ,30000,33907,First,4,100,Bajaj
2496,Yamaha FZ25 250cc,80000,23000,First,4,250,Yamaha
2497,Hero CBZ Xtreme,12000,45000,First,12,150,Hero
2498,Honda CB Twister,22000,65585,First,11,110,Honda
2499,Yamaha FZs 150cc,22000,30378,First,9,150,Yamaha
2500,Bajaj Pulsar 150cc,25000,31634,First,8,150,Bajaj
2501,Honda CBR 250R,100000,28000,First,5,250,Honda
2502,Yamaha YZF-R15 150cc,47000,12643,Second,9,150,Yamaha
2503,TVS Apache RTR,36000,21905,First,9,160,TVS
2504,Royal Enfield Bullet,110000,24000,First,7,500,Royal Enfield
2505,TVS Apache RTR,94000,893,First,2,160,TVS
2506,Suzuki Hayabusa 1300cc,850000,13223,First,12,1300,Suzuki
2507,Hero Honda Splendor,21000,20000,First,9,100,Hero
2508,KTM Duke 200cc,125000,24451,First,3,200,KTM
2509,Honda CB Unicorn,35000,38195,First,7,150,Honda
2510,Mahindra Centuro 110cc,18700,34409,First,7,110,Mahindra
2511,Honda CB ShineSP,60000,68,First,3,125,Honda
2512,Hero Passion Pro,32000,18080,First,5,100,Hero
2513,Hero Super Splendor,25000,68717,First,9,125,Hero
2514,Bajaj Platina 100cc,23000,44002,First,5,100,Bajaj
2515,Hero Splendor iSmart,35000,27877,First,4,110,Hero
2516,Bajaj Avenger 220cc,55000,12500,First,6,220,Bajaj
2517,Bajaj Pulsar 135LS,19000,17272,First,8,135,Bajaj
2518,Royal Enfield Bullet,170000,8015,First,2,500,Royal Enfield
2519,Hero Splendor Plus,12000,67569,First,13,100,Hero
2520,Hero Ignitor 125cc,26000,32145,First,5,125,Hero
2521,Hero Ignitor 125cc,22000,38755,First,8,125,Hero
2522,Bajaj Pulsar 180cc,39000,29330,First,6,180,Bajaj
2523,Royal Enfield Classic,239000,1264,First,2,500,Royal Enfield
2524,Bajaj Discover 125cc,32000,38327,First,4,125,Bajaj
2525,Bajaj CT 100,30000,12696,First,4,100,Bajaj
2526,Honda CB Shine,51000,20683,First,5,125,Honda
2527,Royal Enfield Bullet,135000,23000,First,3,350,Royal Enfield
2528,Bajaj Pulsar 135LS,32000,19510,First,9,135,Bajaj
2529,Triumph Street Triple,650000,16000,First,4,675,Triumph
2530,KTM RC 200cc,190000,2500,First,2,200,KTM
2531,Royal Enfield Continental,161300,17000,First,5,535,Royal Enfield
2532,KTM Duke 250cc,190000,2600,First,2,250,KTM
2533,Hero HF Deluxe,18000,13290,First,9,100,Hero
2534,Bajaj Pulsar 150cc,32000,23553,Second,6,150,Bajaj
2535,Bajaj CT110 ES,48000,1850,First,2,110,Bajaj
2536,Bajaj  Pulsar,25000,90393,First,10,180,Bajaj
2537,Hero Glamour 125cc,16000,13551,First,13,125,Hero
2538,Bajaj Discover 100cc,17000,32997,First,11,100,Bajaj
2539,Yamaha YZF-R15 150cc,57000,28000,First,7,150,Yamaha
2540,Bajaj CT 100,33000,12992,First,3,100,Bajaj
2541,TVS Star City,9000,72302,First,15,110,TVS
2542,Bajaj V15 150cc,36000,6652,First,4,150,Bajaj
